,compound_id,base_rdkit_smiles,relation,PXC50,active
0,CHEMBL512967,CCC(=O)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,,7.22,1
1,CHEMBL4248596,COc1ccccc1N1CCN(CCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,,5.3,0
2,CHEMBL828,c1ccc2c(c1)Nc1ccccc1S2,,6.34,1
3,CHEMBL67203,c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,,7.01,1
4,CHEMBL497479,CNC[C@@H]1COc2ccccc2[C@@H]1Oc1ccccc1Cl,,7.51,1
5,CHEMBL4226362,CN(C)C[C@]1(c2ccc(Cl)c(Cl)c2)CC[C@@](C)(O)CC1,,8.205,1
6,CHEMBL1289,Clc1cc(Cl)c(OCC#CI)cc1Cl,,5.56,0
7,CHEMBL255448,COCCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,5.96,0
8,CHEMBL577138,CNC[C@@H](O)[C@H](c1cccc(C(F)(F)F)c1)n1ccc2ccccc21,,7.27,1
9,CHEMBL4559266,Cc1cccc(C)c1N1CCN(CCCn2nnnc2C(c2ccccc2)c2ccccc2)CC1,,5.76,0
10,CHEMBL1084016,CC(C)NCC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,,5.65,0
11,CHEMBL822,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,,5.38,0
12,CHEMBL1085904,CNCCCN1Cc2ccccc2N(c2cccc(OC)c2)S1(=O)=O,,6.1,1
13,CHEMBL461323,CCCn1c(=O)n([C@H](CCNC)c2ccccc2)c2ccccc21,,7.5,1
14,CHEMBL1684050,CC(N)C1(c2ccc3ccccc3c2)CCCCC1,,6.29,1
15,CHEMBL411677,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,,7.77,1
16,CHEMBL583113,CNC[C@@H](O)[C@H](c1ccccc1Cl)n1ccc2ccccc21,,6.52,1
17,CHEMBL258450,CCN(CC)C(=O)[C@@]1(c2ccc3occc3c2)C[C@H]1CN,,7.33,1
18,CHEMBL2064645,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(F)c(F)c4)nc31)[C@H](O)[C@@H]2O,,5.75,0
19,CHEMBL3673179,CCS(=O)(=O)N1CCN(c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)CC1,,7.25,1
20,CHEMBL4091567,Fc1ccc(C(OCCN2CCN(c3ccc(Cl)cc3)CC2)c2ccc(F)cc2)cc1,,5.8,0
21,CHEMBL1762473,N#Cc1ccc(Cl)cc1O[C@H](CCN)c1ccccc1,,4.82,0
22,CHEMBL410055,CC#CCN(CCC)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,,7.1,1
23,CHEMBL155109,CCCCN(c1ccncc1)n1ccc2ccccc21,,6.37,1
24,CHEMBL559654,Clc1ccc(Cl)c(OC(c2cccnc2)C2CCNCC2)c1,,7.08,1
25,CHEMBL1684049,CC(N)C1(c2cccc3ccccc23)CCCCC1,,5.4,0
26,CHEMBL603109,CNC[C@@H](O)[C@H](c1cccc(F)c1)N1CC(C)(C)c2cc(F)ccc21,,7.72,1
27,CHEMBL1813473,Clc1ccc([C@]23CCCC[C@@H]2CNC3)cc1Cl,,5.445,0
28,CHEMBL256408,CCN(CC)C(=O)C1(c2ccccc2)CC1CNCc1ncco1,,6.35,1
29,CHEMBL498687,CCc1ccccc1O[C@H]1c2ccccc2CO[C@H]1CNC,,7.82,1
30,CHEMBL219703,CCCCCC(c1ccc(Cl)cc1)C1CCCCN1,,6.6899999999999995,1
31,CHEMBL497461,CNC[C@@H]1COc2ccccc2[C@H]1Oc1ccccc1C,,6.38,1
