Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3310477,,0,358.21,1,5,2ak,Fc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1F,Inhibition,'=',100,%,,,,UO_0000187,,,,,FALSE,CHEMBL3364219,Inhibition of norepinephrine reuptake at human NET expressed in HEK293 cells at 10 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,CHEMBL3307715,
CHEMBL4294989,,0,394.95,1,5.47,30,Clc1cccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)c1,Inhibition,'=',63.7,%,,,,UO_0000187,,,,,FALSE,CHEMBL4276209,Inhibition of [3H]norepinephrine uptake at human NET expressed in HEK293 cells at 10 uM after 15 to 20 mins by microbeta scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4270660,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL3323102,,0,262.36,0,3.75,BDBM170456,CN1Cc2ccccc2C(c2ccc3cc[nH]c3c2)C1,Ki,'=',6.7,nM,8.17,,314424,UO_0000065,31.16,0.56,4.42,42.95,FALSE,CHEMBL3705836,"Binding Assay: In order to evaluate the relative affinity of the various compounds at the NE, DA and 5HT transporters, HEK293E cell lines were developed to express each of the three human transporters. cDNAs containing the complete coding regions of each transporter were amplified by PCR from human brain libraries. The cDNAs contained in pCRII vectors were sequenced to verify their identity and then subcloned into an Epstein-Barr virus based expression plasmid (Shen et al., Gene 156:235-239 (1995), which is hereby incorporated by reference in its entirety). This plasmid containing the coding sequence for one of the human transporters was transfected into HEK93E cells. Successful transfection was verified by the ability of known reuptake blockers to inhibit the uptake of tritiated NE, DA or 5HT.For binding, cells were homogenized, centrifuged, and then resuspended in incubation buffer (5 mM Tris, 120 mM NaCl, 5 mM KCl, pH 7.4). Then, the appropriate radioligand was added.",B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293E,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3638841,37,BindingDB Database,,2015,None,
CHEMBL3310035,,0,278.26,0,1.62,4,COC(=O)CCc1cc2cc(C)oc(=O)c2c(O)c1O,Activity,,,,,,Not Active,,,,,,FALSE,CHEMBL3365809,Displacement of [3H]nisoxetine from NET (unknown origin) expressed in HEK cells at 10 uM after 90 mins by microbeta counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352407,1,Scientific Literature,J. Nat. Prod.,2014,CHEMBL3307715,
CHEMBL598346,,0,289.32,0,4.22,1,Fc1ccccc1Oc1cccc(F)c1C1CCNCC1,EC50,'=',28,nM,7.55,,,UO_0000065,,,,,FALSE,CHEMBL1645860,Agonist activity at human cloned NET expressed in HEK293 cells by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1641456,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,CHEMBL3307715,
CHEMBL257909,,0,413.95,0,4.16,10h,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccc(Cl)cc1,Ki,'=',112,nM,6.95,,,UO_0000065,16.79,0.33,2.79,15.51,FALSE,CHEMBL948193,Binding affinity to human NET,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1141555,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,None,
CHEMBL270099,,0,343.45,0,3.3,6,COC(=O)c1ccccc1S[C@@H](c1ccccc1)[C@@H]1CNCCO1,Ki,'=',1.35,nM,8.87,,,UO_0000065,25.83,0.5,5.57,18.65,FALSE,CHEMBL947039,Displacement of [3H]nisoxetine from human NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1142380,1,Scientific Literature,Bioorg. Med. Chem.,2008,CHEMBL3307715,
CHEMBL465123,SEPROXETINE,0,295.3,0,4.17,(S)-3,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',2806,nM,5.55,,,UO_0000065,18.8,0.36,1.38,15.75,FALSE,CHEMBL1011739,Inhibition of [3H]NE from human recombinant NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1139269,1,Scientific Literature,Bioorg. Med. Chem.,2009,CHEMBL3307715,
CHEMBL313041,,0,286.33,0,2.12,6,COc1ccc(C2=NNC(=O)C3CC=CCC23)cc1OC,IC50,'>',100000,nM,,,,UO_0000065,,,,,TRUE,CHEMBL1011739,Inhibition of [3H]NE from human recombinant NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1139269,1,Scientific Literature,Bioorg. Med. Chem.,2009,CHEMBL3307715,
CHEMBL498495,,0,283.37,0,3.34,45-I,CNC[C@H]1COc2ccccc2[C@@H]1Oc1ccccc1C,IC50,'=',200,nM,6.7,,,UO_0000065,23.64,0.44,3.36,21.97,FALSE,CHEMBL995197,Inhibition of norepinephrine uptake at human NET expressed in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1156582,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL455447,,0,267.37,0,3.51,3,CNC[C@@H]1Cc2ccccc2[C@@H]1Oc1ccccc1C,IC50,'=',10,nM,8,,,UO_0000065,29.92,0.55,4.49,37.63,FALSE,CHEMBL995197,Inhibition of norepinephrine uptake at human NET expressed in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1156582,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307715,
CHEMBL3310480,,0,406.23,1,5.62,2an,FC(F)(F)Oc1cccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)c1,Inhibition,'=',100,%,,,,UO_0000187,,,,,FALSE,CHEMBL3364219,Inhibition of norepinephrine reuptake at human NET expressed in HEK293 cells at 10 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,CHEMBL3307715,
CHEMBL818,IOBENGUANE,4,275.09,0,1.27,mIBG,N=C(N)NCc1cccc(I)c1,Drug uptake,,,,,,Active,,,,,,FALSE,CHEMBL3293095,Cellular uptake in human SK-N-SH cells assessed as noradrenaline transporter-mediated uptake at 1 x 10'-4 M after 15 mins by [3H]-noradrenaline uptake assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,SK-N-SH,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3286231,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,CHEMBL3307745,
CHEMBL3310622,,0,356.68,1,5.38,2ah,Clc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1,Inhibition,'=',96,%,,,,UO_0000187,,,,,FALSE,CHEMBL3363911,Inhibition of norepinephrine reuptake at human NET expressed in HEK293 cells at 1 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,CHEMBL3307715,
CHEMBL4066427,,0,383.25,0,3.03,23; RTI-55,COC(=O)[C@H]1[C@@H](c2ccc([125I])cc2)CC2CC[C@H]1N2C,EC50,,,,,,Not Determined,,,,,,FALSE,CHEMBL4011342,Enhancing of [125I]RTI-55 binding to recombinant human NET expressed in HEK293 cell membranes preincubated for 10 mins followed by radioligand addition measured after 90 mins by micro beta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4007505,1,Scientific Literature,J Med Chem,2017,CHEMBL3307715,
CHEMBL3350391,,0,342.43,0,4.27,4a,CN1[C@H]2CC[C@@H]1C[C@H](NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,Ki,'=',1810,nM,5.74,,,UO_0000065,16.77,0.31,1.47,37.61,FALSE,CHEMBL863452,Displacement of [3H]nisoxetine from NET,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1141240,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005,None,
