Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL10,P23975,SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7482013,DTCC00132413,2089752,46191
CHEMBL10,P23975,SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7482014,DTCC00132413,2089752,46191
CHEMBL1006,P23975,AMIFOSTINE,JKOQGQFVAUAYPM-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7290025,DTCC00224760,898282,46191
CHEMBL1006,P23975,AMIFOSTINE,JKOQGQFVAUAYPM-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7290026,DTCC00224760,898282,46191
CHEMBL1009,P23975,LEVODOPA,WTDRDQBEARUVNC-LURJTMIESA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7423055,DTCC00224903,1351112,46191
CHEMBL1009,P23975,LEVODOPA,WTDRDQBEARUVNC-LURJTMIESA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7423056,DTCC00224903,1351112,46191
CHEMBL101,P23975,PHENYLBUTAZONE,VYMDGNCVAMGZFE-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,IC50,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7397989,DTCC00142582,217583,46191
CHEMBL101,P23975,PHENYLBUTAZONE,VYMDGNCVAMGZFE-UHFFFAOYSA-N,4,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,,KI,,,,,,,,,,,,,,,,MDCK,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774705,DTCT0023180,7397990,DTCC00142582,217583,46191
CHEMBL101055,P23975,,XLJMMCKWKGQCNY-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,18557608,IC50,=,208,NM,,cell_based,,,,,,,,,,,,Inhibition of norepinephrine uptake at human norepinephrine transporter expressed in MDCK-Net6 cells,,Structure-activity relationships of the cycloalkanol ethylamine scaffold: discovery of selective norepinephrine reuptake inhibitors.,J. Med. Chem.,2008,51,13,"Mahaney PE, Gavrin LK, Trybulski EJ, Stack GP, Vu TA, Cohn ST, Ye F, Belardi JK, Santilli AA, Sabatucci JP, Leiter J, Johnston GH, Bray JA, Burroughs KD, Cosmi SA, Leventhal L, Koury EJ, Zhang Y, Mugford CA, Ho DM, Rosenzweig-Lipson SJ, Platt B, Smith VA, Deecher DC",,487422,DTCT0023180,2657197,DTCC00265752,876952,30478
CHEMBL101055,P23975,,XLJMMCKWKGQCNY-UHFFFAOYSA-N,0,NOREPINEPHRINE TRANSPORTER,SLC6A2,Transporter,,,18557608,KI,=,316,NM,,cell_based,,,,,,,,,,,,Displacement of [3H]nisoxetine from human norepinephrine transporter expressed in MDCK-Net6 cells,,Structure-activity relationships of the cycloalkanol ethylamine scaffold: discovery of selective norepinephrine reuptake inhibitors.,J. Med. Chem.,2008,51,13,"Mahaney PE, Gavrin LK, Trybulski EJ, Stack GP, Vu TA, Cohn ST, Ye F, Belardi JK, Santilli AA, Sabatucci JP, Leiter J, Johnston GH, Bray JA, Burroughs KD, Cosmi SA, Leventhal L, Koury EJ, Zhang Y, Mugford CA, Ho DM, Rosenzweig-Lipson SJ, Platt B, Smith VA, Deecher DC",,487421,DTCT0023180,2657168,DTCC00265752,876952,30478
