Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
CTETYYAZBPJBHE-UHFFFAOYNA-N,CHEMBL1289,6530,A,5.56,chembl20,774705,9606,SLC6A2,4059,C(#CI)COC=1C=C(Cl)C(=CC1Cl)Cl
QVLGCILLMAUJBI-UHFFFAOYNA-N,16494915,6530,A,5.00056,pubchem,578387,9606,SLC6A2,4059,S1C(C2(CCCCC2)CN)=CC=C1
NTDQQZYCCIDJRK-UHFFFAOYNA-N,CHEMBL195437,6530,N,4.21,chembl20,774705,9606,SLC6A2,4059,C=1(C=CC(=CC1)CCCCCCCC)O
OLBCVFGFOZPWHH-UHFFFAOYNA-N,CHEMBL526,6530,A,5.03,chembl20,774705,9606,SLC6A2,4059,OC=1C(=CC=CC1C(C)C)C(C)C
NGBBVGZWCFBOGO-UHFFFAOYNA-N,CHEMBL6731,6530,A,6.58,chembl20,639476,9606,SLC6A2,4059,O1C2=C(OC1)C=CC(=C2)CC(N)C
QSQQQURBVYWZKJ-UHFFFAOYNA-N,CHEMBL30713,6530,A,6.19,chembl20,965140,9606,SLC6A2,4059,C1(=CNC2=C1C=CC=C2)CC(N)C
WJFKNYWRSNBZNX-UHFFFAOYNA-N,CHEMBL828,6530,A,6.34,chembl20,774705,9606,SLC6A2,4059,C1=CC=CC=2SC3=CC=CC=C3NC21
AUZONCFQVSMFAP-UHFFFAOYNA-N,CHEMBL964,6530,N,4.16,chembl20,774705,9606,SLC6A2,4059,N(C(SSC(N(CC)CC)=S)=S)(CC)CC
IGFHQQFPSIBGKE-UHFFFAOYNA-N,CHEMBL153062,6530,A,5.91,chembl20,774705,9606,SLC6A2,4059,C=1(C=CC(=CC1)CCCCCCCCC)O
IGHNBPCIIFLLHN-UHFFFAOYNA-N,71541287,6530,A,6.60206,pubchem,727358,9606,SLC6A2,4059,ClC1=CC=C(C2CNCC=CC2)C=C1
GIADSEBUTATWLB-UHFFFAOYNA-N,9900725,6530,A,6.96257,pubchem,722050,9606,SLC6A2,4059,[CH](CN(C)C)C1=CC=C(OC)C=C1
IAIACGGIZWXQIK-UHFFFAOYNA-N,CHEMBL458639,6530,A,7.64,chembl20,541290,9606,SLC6A2,4059,C1=CC=C(C=C1)C2CCC(O2)CN
KHKLNHSDQIKVSU-UHFFFAOYNA-N,11506733,6530,A,7.21467,pubchem,393261,9606,SLC6A2,4059,ClC1=CC=C(C2OC(CC2)CN)C=C1
LKTJWDXCFJJUGY-UHFFFAOYNA-N,11506691,6530,A,6.4437,pubchem,393261,9606,SLC6A2,4059,O1C(CCC1CN)CCC2=CC=CC=C2
NWTJKIVXQLVNCQ-UHFFFAOYNA-N,CHEMBL2326688,6530,A,6.37,chembl20,939924,9606,SLC6A2,4059,C1C(CNCC=C1)C2=CC(=CC=C2)Cl
PMLBVCPRUZMORG-UHFFFAOYNA-N,71541189,6530,A,7.18046,pubchem,727358,9606,SLC6A2,4059,ClC=1C=C(C2CNCC=CC2)C=CC1Cl
SHXWCVYOXRDMCX-UHFFFAOYNA-N,CHEMBL43048,6530,A,6.4,chembl20,965140,9606,SLC6A2,4059,O1C=2C(OC1)=CC=C(C2)CC(NC)C
YSGVIJFMBOEZJZ-UHFFFAOYNA-N,71541193,6530,A,7.08092,pubchem,727358,9606,SLC6A2,4059,ClC=1C=C(C2CNCC=CC2)C=CC1C
AZMKBJHIXZCVNL-UHFFFAOYNA-N,CHEMBL457967,6530,N,4.24,chembl20,541288,9606,SLC6A2,4059,C1(OC(CC1)CN)C=2C=C(C=CC2OC)F
BCWNRIBPOBGWSY-UHFFFAOYNA-N,CHEMBL234127,6530,N,2.6,chembl20,444198,9606,SLC6A2,4059,C1CC(C(=CC1)C=2C=CC=CC2)C(OC)=O
CCGVLNAUEKVICK-UHFFFAOYNA-N,CHEMBL576063,6530,A,5.19,chembl20,610770,9606,SLC6A2,4059,C1=CC(=CC(=C1)F)C(C(NC(C)(C)C)C)=O
BMRJUXFHOOHDBF-UHFFFAOYNA-N,CHEMBL219224,6530,A,7.46,chembl20,423472,9606,SLC6A2,4059,C(C1CCCCN1)(C2=CC=C(C=C2)Cl)C
BMWDQBTXNBGORC-UHFFFAOYNA-N,CHEMBL566207,6530,A,5.63,chembl20,610770,9606,SLC6A2,4059,C1=CC(=CC=C1C)C(C(NC(C)(C)C)C)=O
CMPGCFZWPMOLAI-UHFFFAOYNA-N,CHEMBL269538,6530,A,5.49,chembl20,142610,9606,SLC6A2,4059,CC=1NC=CC=2C1N=C3C=C(C=CC23)OC
CLUSUWZTCMHKGO-UHFFFAOYNA-N,73347528,6530,A,7.1549,pubchem,761326,9606,SLC6A2,4059,ClC=1C=C(C(C2CCNCC2)COC)C=CC1F
CFZZDYYPKKLPSN-UHFFFAOYNA-N,CHEMBL232671,6530,N,3.55,chembl20,444201,9606,SLC6A2,4059,C=1CCC(C(OC)=O)C1C=2C=CC=C(C2)Cl
CJUVIUZOUUBMJB-UHFFFAOYNA-N,CHEMBL376852,6530,A,6.68,chembl20,423472,9606,SLC6A2,4059,C(C1CCCCN1)(C2=CC=C(C=C2)Cl)CC
CWYBNSVSYKQGJB-UHFFFAOYNA-N,CHEMBL2326692,6530,A,6.89,chembl20,939924,9606,SLC6A2,4059,C1C(CNCCC1)C2=CC(=C(C=C2)Cl)Cl
CVZSPCRLZUDYPH-UHFFFAOYNA-N,CHEMBL2407329,6530,A,7.01,chembl20,974162,9606,SLC6A2,4059,C1(CCNCC1)C(C2=CC(=CC=C2)Cl)COC
CYXKNKQEMFBLER-UHFFFAOYNA-N,CHEMBL75880,6530,A,5.49,chembl20,774705,9606,SLC6A2,4059,C(CC1NCCCC1)(C2CCCCC2)C3CCCCC3
AJDPIZNWKYQWAI-UHFFFAOYNA-N,44429185,6530,A,5.60206,pubchem,296172,9606,SLC6A2,4059,ClC=1C=C(C2=CCNCC2C(OCC)=O)C=CC1Cl
FZRYLYZNENTFJM-UHFFFAOYNA-N,CHEMBL448912,6530,A,6.46,chembl20,541290,9606,SLC6A2,4059,C=1C=C(C=CC1)CC2CCC(O2)CCN
GIDJZDYNVHMFAH-UHFFFAOYNA-N,3031062,6530,A,5.25181,pubchem,459712,9606,SLC6A2,4059,BrC=1C=C(C(=O)C(NC(C)(C)C)C)C=CC1
GDFYRFGZPIJLGQ-UHFFFAOYNA-N,71727768,6530,A,7.85387,pubchem,761326,9606,SLC6A2,4059,ClC=1C=C(C(C2CCNCC2)COC)C=CC1Cl
FTALBRSUTCGOEG-GAJRPKRDNA-N,5070,6530,A,5.7612,pubchem,625207,9606,SLC6A2,4059,S1C2=C(N=C1N)C=CC(OC(F)(F)F)=C2
FLAQOJMPRHHQFA-UHFFFAOYNA-N,53325042,6530,A,6.86328,pubchem,578387,9606,SLC6A2,4059,ClC=1C=C(C2(CCCCC2)CNC)C=CC1F
BTTOTVJMLUUAJV-UHFFFAOYNA-N,CHEMBL2171408,6530,A,6.98,chembl20,863450,9606,SLC6A2,4059,C1NCC1C(C2=CC=C(C(=C2)Cl)Cl)OCC
BSMNRYCSBFHEMQ-UHFFFAOYNA-N,CHEMBL528995,6530,A,7.7,chembl20,699305,9606,SLC6A2,4059,N1CC2(C3=CC=C(C(=C3)Cl)Cl)C(C2)C1
BUHYNSCVXFKNPC-UHFFFAOYNA-N,71727760,6530,A,8.06048,pubchem,761326,9606,SLC6A2,4059,ClC=1C=C(C(C2CCNCC2)CSCC)C=CC1Cl
BHFYWEVSEGCDGF-UHFFFAOYNA-N,CHEMBL232672,6530,N,3.26,chembl20,444198,9606,SLC6A2,4059,C=1CCC(C(OC)=O)C1C=2C=CC(=CC2)OC
MCCAWZYTZTWQBW-UHFFFAOYNA-N,71727758,6530,A,8.03152,pubchem,761326,9606,SLC6A2,4059,ClC=1C=C(C(C2CCNCC2)CSC)C=CC1Cl
NDMODESSMWGHBK-UHFFFAOYNA-N,51346818,6530,A,7.07058,pubchem,578420,9606,SLC6A2,4059,ClC=1C=C(C2(CCCCC2)CNC)C=CC1Cl
HDLNQDARKJUPIY-UHFFFAOYNA-N,CHEMBL456638,6530,A,6.68,chembl20,541290,9606,SLC6A2,4059,C=1C=CC(C2OC(CC2)CN)=C3C1C=CC=C3
IHFKHNCURWJDHC-UHFFFAOYNA-N,CHEMBL2326690,6530,A,7.34,chembl20,939924,9606,SLC6A2,4059,C1C(CNCC=C1)C=2OC3=C(C2)C=CC=C3
JTOBXLVKTKGLSL-UHFFFAOYNA-N,43164282,6530,A,6.56384,pubchem,578387,9606,SLC6A2,4059,ClC=1C=C(C2(CCCCC2)CN)C=CC1Cl
JQNSRSIGKZYQAA-UHFFFAOYNA-N,3047299,6530,A,5.24413,pubchem,444519,9606,SLC6A2,4059,O=C(C(NC(C)(C)C)C)C=1C=CC=CC1
HOXBFDRIDWJAEN-UHFFFAOYNA-N,CHEMBL1683885,6530,A,6.49,chembl20,726927,9606,SLC6A2,4059,C1C(CCCC1)(C2=CC=C(C=C2)Cl)CNC
HKOVZQZDXNHYOJ-UHFFFAOYNA-N,CHEMBL566418,6530,A,7.07,chembl20,595700,9606,SLC6A2,4059,C1=CC(=CC(=C1)Cl)C(C(NC2CCC2)C)=O
IELBAACIVCODPI-UHFFFAOYNA-N,3031066,6530,A,5.68403,pubchem,459712,9606,SLC6A2,4059,ClC=1C=CC(C(=O)C(NC(C)(C)C)C)=CC1
LCUQDUYHYRSPMJ-UHFFFAOYNA-N,CHEMBL508678,6530,A,5.07,chembl20,541288,9606,SLC6A2,4059,C1=CC=C(C=N1)CCC2CCC(O2)CN
LBMMBEDCUJAMIZ-UHFFFAOYNA-N,71541188,6530,A,6.92082,pubchem,727358,9606,SLC6A2,4059,O1C(C2CN(CC=CC2)C)=CC=3C1=CC=CC3
KGWCLBPCJLUGQJ-UHFFFAOYNA-N,CHEMBL2171415,6530,A,8,chembl20,863447,9606,SLC6A2,4059,C1NCC1C(C2=CC=C(C(=C2)Cl)Cl)OCCC
KRNOLRHDBBTXOP-UHFFFAOYNA-N,CHEMBL2326685,6530,A,6.77,chembl20,939924,9606,SLC6A2,4059,C1C(CNCC=C1)C2=CC(=C(C=C2)Cl)C
LJALDWYVBOLBGW-UHFFFAOYNA-N,53322397,6530,A,7.72125,pubchem,578387,9606,SLC6A2,4059,ClC=1C=C(C2(CCCCC2)CNCC)C=CC1Cl
NZCDMSTWUUULEH-UHFFFAOYNA-N,CHEMBL461268,6530,A,7.23,chembl20,541290,9606,SLC6A2,4059,C1(=CC=C(C=C1)C2OC(CC2)CN)Br
NTSBDQLGAZMMFC-UHFFFAOYNA-N,71541098,6530,A,7.24413,pubchem,727358,9606,SLC6A2,4059,ClC=1C=C(C2CN(CC=CC2)C)C=CC1Cl
NYADKXRJISYHGA-UHFFFAOYNA-N,71541094,6530,A,7.13077,pubchem,727358,9606,SLC6A2,4059,ClC=1C=C(C2CCCCN(C2)C)C=CC1Cl
OICPVJMMZDEJMO-UHFFFAOYNA-N,CHEMBL218847,6530,A,7.3,chembl20,423472,9606,SLC6A2,4059,C(C1=CC=C(C=C1)Cl)(CCC)C2CCCCN2
ODBMZGNVEYOUNY-UHFFFAOYNA-N,71727756,6530,A,7.55284,pubchem,761326,9606,SLC6A2,4059,ClC=1C=C(C(C2CCNCC2)COCC)C=CC1Cl
PTKQUPHPZRJQRH-UHFFFAOYNA-N,CHEMBL2326686,6530,A,6.89,chembl20,939924,9606,SLC6A2,4059,C1C(CNCC=C1)C2=CC(=C(C=C2)F)Cl
QYLKSFXBRALDIS-UHFFFAOYNA-N,CHEMBL566001,6530,A,5.6,chembl20,610770,9606,SLC6A2,4059,C1=CC(=CC=C1Br)C(C(NC(C)(C)C)C)=O
QXCPNTPGHVWJSN-UHFFFAOYNA-N,CHEMBL2171214,6530,A,6.95,chembl20,863450,9606,SLC6A2,4059,C1NCC1C(C2=CC=C(C(=C2)Cl)Cl)OC
QDGNXKUDWVSTPT-UHFFFAOYNA-N,CHEMBL2407330,6530,A,6.89,chembl20,974162,9606,SLC6A2,4059,C1(CCNCC1)C(C2=CC=C(C=C2)Cl)COC
RNENMPZCEJQQBI-UHFFFAOYNA-N,71727648,6530,A,7.60206,pubchem,761326,9606,SLC6A2,4059,ClC=1C=C(C(C2CCNCC2)C)C=CC1Cl
VJGKGXRSJKSLFP-UHFFFAOYNA-N,CHEMBL1762478,6530,A,5.15,chembl20,740010,9606,SLC6A2,4059,C1=CC(C#N)=C(C=C1Cl)OC(CCNC)CC
SUAFTJAVJHXARK-UHFFFAOYNA-N,CHEMBL451652,6530,A,7.04,chembl20,541290,9606,SLC6A2,4059,C=1(C=CC(=CC1)C2OC(CC2)CN)OC
SNPPWIUOZRMYNY-UHFFFAOYNA-N,444,6530,A,6.3536,pubchem,444522,9606,SLC6A2,4059,ClC=1C=C(C(=O)C(NC(C)(C)C)C)C=CC1
TXPPKWZEHFNZOE-UHFFFAOYNA-N,CHEMBL1196025,6530,N,3.89,chembl20,1335319,9606,SLC6A2,4059,C=12C(=CC(=C(C1)OC)OC)CCN(C2)C
UYZAXUWVJGHEFL-UHFFFAOYNA-N,CHEMBL566830,6530,A,5.9,chembl20,595700,9606,SLC6A2,4059,C1=CC(C(C(N(C)C)C)=O)=CC(=C1)Cl
SCIRNASYBOGBOO-UHFFFAOYNA-N,CHEMBL6310,6530,A,5,chembl20,142611,9606,SLC6A2,4059,N1C2=C(CCNC2)C=3C1=CC(=CC3)OC
WGNABQIMYMHUQC-UHFFFAOYNA-N,53317167,6530,A,6.57025,pubchem,578387,9606,SLC6A2,4059,ClC=1C=C(C2(CCCCC2)CNC)C=CC1
WBYHTZYHAFNBKW-ZETCQYMHNA-N,CHEMBL371300,6530,N,4.87,chembl20,329396,9606,SLC6A2,4059,N[C@H](CN1N=CC2=CC=C(C=C12)O)C
VYQNWZOUAUKGHI-UHFFFAOYNA-N,7638,6530,A,5.4105,pubchem,625207,9606,SLC6A2,4059,O(CC1=CC=CC=C1)C=2C=CC(O)=CC2
VYXWEHBKBCDADE-UHFFFAOYNA-N,CHEMBL394585,6530,N,3.75,chembl20,444201,9606,SLC6A2,4059,C=1CCC(C(OC)=O)C1C=2C=CC(=CC2)Cl
XRXPUZOKWCSSLL-UHFFFAOYNA-N,CHEMBL1683892,6530,A,5.66,chembl20,726927,9606,SLC6A2,4059,C1CCCCC1(C2=CC=C(C(=C2)F)F)CNC
YDGOUEKZXBLUDG-UHFFFAOYNA-N,CHEMBL566832,6530,A,5.21,chembl20,610770,9606,SLC6A2,4059,C1=CC(=CC(=C1)C)C(C(NC(C)(C)C)C)=O
WROCJHDKYNTMKL-UHFFFAOYNA-N,CHEMBL1173600,6530,A,5.1,chembl20,641577,9606,SLC6A2,4059,C1=CC(=NC=C1)C2(OCC(NC2C)(C)C)O
YLJREFDVOIBQDA-YGPBECBDNA-N,CHEMBL95,6530,A,6.29,chembl20,774705,9606,SLC6A2,4059,C=1(C2=C(CCCC2)N=C3C1C=CC=C3)N
YOAPWCHKPSMTER-UHFFFAOYNA-N,CHEMBL463388,6530,A,6.54,chembl20,493416,9606,SLC6A2,4059,C=1(C=C2C=CNC2=CC1)C3(CCNC3)C
XYRFOINUUXDKLR-UHFFFAOYNA-N,CHEMBL232674,6530,N,3.61,chembl20,444201,9606,SLC6A2,4059,C=1CCC(C(OC)=O)C1C2=CC=CC(=C2)N
XXFWDPHWYVNJQG-UHFFFAOYNA-N,11658719,6530,A,5.67244,pubchem,393261,9606,SLC6A2,4059,O1C(CCC1CCN)CCC=2C=CC(O)=CC2
YKOZIWZLLJVPPD-UHFFFAOYNA-N,CHEMBL569700,6530,A,5.67,chembl20,595700,9606,SLC6A2,4059,C(C(C)NC1CC1)(=O)C2=CC(=CC=C2)Cl
YWPHCCPCQOJSGZ-UHFFFAOYNA-N,CHEMBL306700,6530,A,6.81,chembl20,142806,9606,SLC6A2,4059,N1CC(COC2=C(OCC)C=CC=C2)OCC1
BGXIKTHXOUZBOU-UHFFFAOYNA-N,CHEMBL407815,6530,A,6.37,chembl20,463818,9606,SLC6A2,4059,C=1C=C(C(OC2=CC=C(C=C2F)Cl)=CC1)CNC
BBLALPDUHCRAKZ-UHFFFAOYNA-N,826600,6530,A,7.1549,pubchem,315792,9606,SLC6A2,4059,O(C=1C(CN(C)C)=CC=CC1)C2=CC=CC=C2
APQGMQHBIOJWDO-UHFFFAOYNA-N,71541192,6530,A,7.60206,pubchem,727358,9606,SLC6A2,4059,N1CC(CC=CC1)C2=CC=3C(C=C2)=CC=CC3
