,Molecule_ChEMBL_ID,Molecule_Name,Molecule_Max_Phase,Molecular_Weight,#RO5_Violations,AlogP,Compound_Key,Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,Data_Validity_Comment,Comment,Uo_Units,Ligand_Efficiency_BEI,Ligand_Efficiency_LE,Ligand_Efficiency_LLE,Ligand_Efficiency_SEI,Potential_Duplicate,Assay_ChEMBL_ID,Assay_Description,Assay_Type,BAO_Format_ID,BAO_Label,Assay_Organism,Assay_Tissue_ChEMBL_ID,Assay_Tissue_Name,Assay_Cell_Type,Assay_Subcellular_Fraction,Assay_Parameters,Assay_Variant_Accession,Assay_Variant_Mutation,Target_ChEMBL_ID,Target_Name,Target_Organism,Target_Type,Document_ChEMBL_ID,Source_ID,Source_Description,Document_Journal,Document_Year,Cell_ChEMBL_ID,Properties,Standard_Value_nM,base_rdkit_smiles
0,CHEMBL3310477,,0.0,358.21,1.0,5.0,2ak,Fc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1F,Inhibition,'=',100.0,%,,,,UO_0000187,,,,,False,CHEMBL3364219,Inhibition of norepinephrine reuptake at human NET expressed in HEK293 cells at 10 uM after 15 mins by fluorescence neurotransmitter transporter assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014.0,CHEMBL3307715,,100.0,Fc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1F
1,CHEMBL4294989,,0.0,394.95,1.0,5.47,30,Clc1cccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)c1,Inhibition,'=',63.7,%,,,,UO_0000187,,,,,False,CHEMBL4276209,Inhibition of [3H]norepinephrine uptake at human NET expressed in HEK293 cells at 10 uM after 15 to 20 mins by microbeta scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL4270660,1,Scientific Literature,Bioorg Med Chem,2018.0,,,63.7,Clc1cccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)c1
2,CHEMBL3323102,,0.0,262.36,0.0,3.75,BDBM170456,CN1Cc2ccccc2C(c2ccc3cc[nH]c3c2)C1,Ki,'=',6.7,nM,8.17,,314424,UO_0000065,31.16,0.56,4.42,42.95,False,CHEMBL3705836,"Binding Assay: In order to evaluate the relative affinity of the various compounds at the NE, DA and 5HT transporters, HEK293E cell lines were developed to express each of the three human transporters. cDNAs containing the complete coding regions of each transporter were amplified by PCR from human brain libraries. The cDNAs contained in pCRII vectors were sequenced to verify their identity and then subcloned into an Epstein-Barr virus based expression plasmid (Shen et al., Gene 156:235-239 (1995), which is hereby incorporated by reference in its entirety). This plasmid containing the coding sequence for one of the human transporters was transfected into HEK93E cells. Successful transfection was verified by the ability of known reuptake blockers to inhibit the uptake of tritiated NE, DA or 5HT.For binding, cells were homogenized, centrifuged, and then resuspended in incubation buffer (5 mM Tris, 120 mM NaCl, 5 mM KCl, pH 7.4). Then, the appropriate radioligand was added.",B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293E,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3638841,37,BindingDB Database,,2015.0,,,6.7,CN1Cc2ccccc2C(c2ccc3cc[nH]c3c2)C1
3,CHEMBL3310035,,0.0,278.26,0.0,1.62,4,COC(=O)CCc1cc2cc(C)oc(=O)c2c(O)c1O,Activity,,,,,,Not Active,,,,,,False,CHEMBL3365809,Displacement of [3H]nisoxetine from NET (unknown origin) expressed in HEK cells at 10 uM after 90 mins by microbeta counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL3352407,1,Scientific Literature,J. Nat. Prod.,2014.0,CHEMBL3307715,,,COC(=O)CCc1cc2cc(C)oc(=O)c2c(O)c1O
4,CHEMBL598346,,0.0,289.32,0.0,4.22,1,Fc1ccccc1Oc1cccc(F)c1C1CCNCC1,EC50,'=',28.0,nM,7.55,,,UO_0000065,,,,,False,CHEMBL1645860,Agonist activity at human cloned NET expressed in HEK293 cells by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1641456,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011.0,CHEMBL3307715,,28.0,Fc1ccccc1Oc1cccc(F)c1C1CCNCC1
5,CHEMBL257909,,0.0,413.95,0.0,4.16,10h,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccc(Cl)cc1,Ki,'=',112.0,nM,6.95,,,UO_0000065,16.79,0.33,2.79,15.51,False,CHEMBL948193,Binding affinity to human NET,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1141555,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008.0,,,112.0,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccc(Cl)cc1
6,CHEMBL270099,,0.0,343.45,0.0,3.3,6,COC(=O)c1ccccc1S[C@@H](c1ccccc1)[C@@H]1CNCCO1,Ki,'=',1.35,nM,8.87,,,UO_0000065,25.83,0.5,5.57,18.65,False,CHEMBL947039,Displacement of [3H]nisoxetine from human NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1142380,1,Scientific Literature,Bioorg. Med. Chem.,2008.0,CHEMBL3307715,,1.35,COC(=O)c1ccccc1S[C@@H](c1ccccc1)[C@@H]1CNCCO1
7,CHEMBL465123,SEPROXETINE,0.0,295.3,0.0,4.17,(S)-3,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',2806.0,nM,5.55,,,UO_0000065,18.8,0.36,1.38,15.75,False,CHEMBL1011739,Inhibition of [3H]NE from human recombinant NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1139269,1,Scientific Literature,Bioorg. Med. Chem.,2009.0,CHEMBL3307715,,2806.0,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
8,CHEMBL313041,,0.0,286.33,0.0,2.12,6,COc1ccc(C2=NNC(=O)C3CC=CCC23)cc1OC,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,True,CHEMBL1011739,Inhibition of [3H]NE from human recombinant NET expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1139269,1,Scientific Literature,Bioorg. Med. Chem.,2009.0,CHEMBL3307715,,100000.0,COc1ccc(C2=NNC(=O)C3CC=CCC23)cc1OC
9,CHEMBL498495,,0.0,283.37,0.0,3.34,45-I,CNC[C@H]1COc2ccccc2[C@@H]1Oc1ccccc1C,IC50,'=',200.0,nM,6.7,,,UO_0000065,23.64,0.44,3.36,21.97,False,CHEMBL995197,Inhibition of norepinephrine uptake at human NET expressed in HEK cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL222,Norepinephrine transporter,Homo sapiens,SINGLE PROTEIN,CHEMBL1156582,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008.0,CHEMBL3307715,,200.0,CNC[C@H]1COc2ccccc2[C@@H]1Oc1ccccc1C
