,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,base_rdkit_smiles
0,CTETYYAZBPJBHE-UHFFFAOYNA-N,CHEMBL1289,6530,A,5.56,chembl20,774705,9606,SLC6A2,4059,C(#CI)COC=1C=C(Cl)C(=CC1Cl)Cl,Clc1cc(Cl)c(OCC#CI)cc1Cl
1,QVLGCILLMAUJBI-UHFFFAOYNA-N,16494915,6530,A,5.00056,pubchem,578387,9606,SLC6A2,4059,S1C(C2(CCCCC2)CN)=CC=C1,NCC1(c2cccs2)CCCCC1
2,NTDQQZYCCIDJRK-UHFFFAOYNA-N,CHEMBL195437,6530,N,4.21,chembl20,774705,9606,SLC6A2,4059,C=1(C=CC(=CC1)CCCCCCCC)O,CCCCCCCCc1ccc(O)cc1
3,OLBCVFGFOZPWHH-UHFFFAOYNA-N,CHEMBL526,6530,A,5.03,chembl20,774705,9606,SLC6A2,4059,OC=1C(=CC=CC1C(C)C)C(C)C,CC(C)c1cccc(C(C)C)c1O
4,NGBBVGZWCFBOGO-UHFFFAOYNA-N,CHEMBL6731,6530,A,6.58,chembl20,639476,9606,SLC6A2,4059,O1C2=C(OC1)C=CC(=C2)CC(N)C,CC(N)Cc1ccc2c(c1)OCO2
5,QSQQQURBVYWZKJ-UHFFFAOYNA-N,CHEMBL30713,6530,A,6.19,chembl20,965140,9606,SLC6A2,4059,C1(=CNC2=C1C=CC=C2)CC(N)C,CC(N)Cc1c[nH]c2ccccc12
6,WJFKNYWRSNBZNX-UHFFFAOYNA-N,CHEMBL828,6530,A,6.34,chembl20,774705,9606,SLC6A2,4059,C1=CC=CC=2SC3=CC=CC=C3NC21,c1ccc2c(c1)Nc1ccccc1S2
7,AUZONCFQVSMFAP-UHFFFAOYNA-N,CHEMBL964,6530,N,4.16,chembl20,774705,9606,SLC6A2,4059,N(C(SSC(N(CC)CC)=S)=S)(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC
8,IGFHQQFPSIBGKE-UHFFFAOYNA-N,CHEMBL153062,6530,A,5.91,chembl20,774705,9606,SLC6A2,4059,C=1(C=CC(=CC1)CCCCCCCCC)O,CCCCCCCCCc1ccc(O)cc1
9,IGHNBPCIIFLLHN-UHFFFAOYNA-N,71541287,6530,A,6.602060000000001,pubchem,727358,9606,SLC6A2,4059,ClC1=CC=C(C2CNCC=CC2)C=C1,Clc1ccc(C2CC=CCNC2)cc1
10,GIADSEBUTATWLB-UHFFFAOYNA-N,9900725,6530,A,6.9625699999999995,pubchem,722050,9606,SLC6A2,4059,[CH](CN(C)C)C1=CC=C(OC)C=C1,COc1ccc([CH]CN(C)C)cc1
11,IAIACGGIZWXQIK-UHFFFAOYNA-N,CHEMBL458639,6530,A,7.64,chembl20,541290,9606,SLC6A2,4059,C1=CC=C(C=C1)C2CCC(O2)CN,NCC1CCC(c2ccccc2)O1
12,KHKLNHSDQIKVSU-UHFFFAOYNA-N,11506733,6530,A,7.21467,pubchem,393261,9606,SLC6A2,4059,ClC1=CC=C(C2OC(CC2)CN)C=C1,NCC1CCC(c2ccc(Cl)cc2)O1
13,LKTJWDXCFJJUGY-UHFFFAOYNA-N,11506691,6530,A,6.4437,pubchem,393261,9606,SLC6A2,4059,O1C(CCC1CN)CCC2=CC=CC=C2,NCC1CCC(CCc2ccccc2)O1
14,NWTJKIVXQLVNCQ-UHFFFAOYNA-N,CHEMBL2326688,6530,A,6.37,chembl20,939924,9606,SLC6A2,4059,C1C(CNCC=C1)C2=CC(=CC=C2)Cl,Clc1cccc(C2CC=CCNC2)c1
15,PMLBVCPRUZMORG-UHFFFAOYNA-N,71541189,6530,A,7.180460000000001,pubchem,727358,9606,SLC6A2,4059,ClC=1C=C(C2CNCC=CC2)C=CC1Cl,Clc1ccc(C2CC=CCNC2)cc1Cl
16,SHXWCVYOXRDMCX-UHFFFAOYNA-N,CHEMBL43048,6530,A,6.4,chembl20,965140,9606,SLC6A2,4059,O1C=2C(OC1)=CC=C(C2)CC(NC)C,CNC(C)Cc1ccc2c(c1)OCO2
17,YSGVIJFMBOEZJZ-UHFFFAOYNA-N,71541193,6530,A,7.08092,pubchem,727358,9606,SLC6A2,4059,ClC=1C=C(C2CNCC=CC2)C=CC1C,Cc1ccc(C2CC=CCNC2)cc1Cl
18,AZMKBJHIXZCVNL-UHFFFAOYNA-N,CHEMBL457967,6530,N,4.24,chembl20,541288,9606,SLC6A2,4059,C1(OC(CC1)CN)C=2C=C(C=CC2OC)F,COc1ccc(F)cc1C1CCC(CN)O1
19,BCWNRIBPOBGWSY-UHFFFAOYNA-N,CHEMBL234127,6530,N,2.6,chembl20,444198,9606,SLC6A2,4059,C1CC(C(=CC1)C=2C=CC=CC2)C(OC)=O,COC(=O)C1CCCC=C1c1ccccc1
20,CCGVLNAUEKVICK-UHFFFAOYNA-N,CHEMBL576063,6530,A,5.19,chembl20,610770,9606,SLC6A2,4059,C1=CC(=CC(=C1)F)C(C(NC(C)(C)C)C)=O,CC(NC(C)(C)C)C(=O)c1cccc(F)c1
21,BMRJUXFHOOHDBF-UHFFFAOYNA-N,CHEMBL219224,6530,A,7.46,chembl20,423472,9606,SLC6A2,4059,C(C1CCCCN1)(C2=CC=C(C=C2)Cl)C,CC(c1ccc(Cl)cc1)C1CCCCN1
22,BMWDQBTXNBGORC-UHFFFAOYNA-N,CHEMBL566207,6530,A,5.63,chembl20,610770,9606,SLC6A2,4059,C1=CC(=CC=C1C)C(C(NC(C)(C)C)C)=O,Cc1ccc(C(=O)C(C)NC(C)(C)C)cc1
23,CMPGCFZWPMOLAI-UHFFFAOYNA-N,CHEMBL269538,6530,A,5.49,chembl20,142610,9606,SLC6A2,4059,CC=1NC=CC=2C1N=C3C=C(C=CC23)OC,COc1ccc2c3cc[nH]c(C)c-3nc2c1
24,CLUSUWZTCMHKGO-UHFFFAOYNA-N,73347528,6530,A,7.1549,pubchem,761326,9606,SLC6A2,4059,ClC=1C=C(C(C2CCNCC2)COC)C=CC1F,COCC(c1ccc(F)c(Cl)c1)C1CCNCC1
25,CFZZDYYPKKLPSN-UHFFFAOYNA-N,CHEMBL232671,6530,N,3.55,chembl20,444201,9606,SLC6A2,4059,C=1CCC(C(OC)=O)C1C=2C=CC=C(C2)Cl,COC(=O)C1CCC=C1c1cccc(Cl)c1
26,CJUVIUZOUUBMJB-UHFFFAOYNA-N,CHEMBL376852,6530,A,6.68,chembl20,423472,9606,SLC6A2,4059,C(C1CCCCN1)(C2=CC=C(C=C2)Cl)CC,CCC(c1ccc(Cl)cc1)C1CCCCN1
