,compound_id,base_rdkit_smiles,PXC50,active,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
0,CHEMBL512967,CCC(=O)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,7.22,1,7.220924999999999,0.0013081475451955185,0.012809993179538917,0
1,CHEMBL4248596,COc1ccccc1N1CCN(CCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,5.3,0,5.3,,0.0,0
2,CHEMBL67203,c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,7.01,1,7.324999999999999,0.4454772721475252,4.3003412969283215,0
3,CHEMBL497479,CNC[C@@H]1COc2ccccc2[C@@H]1Oc1ccccc1Cl,7.51,1,7.55,0.05656854249492385,0.5298013245033117,0
4,CHEMBL4226362,CN(C)C[C@]1(c2ccc(Cl)c(Cl)c2)CC[C@@](C)(O)CC1,8.205,1,8.205,,0.0,0
5,CHEMBL1289,Clc1cc(Cl)c(OCC#CI)cc1Cl,5.56,0,5.56,0.0,0.0,0
6,CHEMBL255448,COCCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,5.96,0,5.96,0.0,0.0,0
7,CHEMBL577138,CNC[C@@H](O)[C@H](c1cccc(C(F)(F)F)c1)n1ccc2ccccc21,7.27,1,7.27,0.0,0.0,0
8,CHEMBL4559266,Cc1cccc(C)c1N1CCN(CCCn2nnnc2C(c2ccccc2)c2ccccc2)CC1,5.76,0,5.76,,0.0,0
9,CHEMBL1084016,CC(C)NCC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,5.65,0,5.65,0.0,0.0,0
10,CHEMBL822,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,5.38,0,5.385,0.007071067811865324,0.09285051067780675,0
11,CHEMBL1085904,CNCCCN1Cc2ccccc2N(c2cccc(OC)c2)S1(=O)=O,6.1,1,6.101184999999999,0.0016758430714124198,0.019422456457221796,0
12,CHEMBL461323,CCCn1c(=O)n([C@H](CCNC)c2ccccc2)c2ccccc21,7.5,1,7.497425,0.0036415999231110253,0.03434512515964103,0
13,CHEMBL1684050,CC(N)C1(c2ccc3ccccc3c2)CCCCC1,6.29,1,6.385745,0.13540387752941194,1.4993552044436471,0
14,CHEMBL411677,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,7.77,1,7.77,0.0,0.0,0
15,CHEMBL583113,CNC[C@@H](O)[C@H](c1ccccc1Cl)n1ccc2ccccc21,6.52,1,6.52,0.0,0.0,0
16,CHEMBL258450,CCN(CC)C(=O)[C@@]1(c2ccc3occc3c2)C[C@H]1CN,7.33,1,7.33,0.0,0.0,0
17,CHEMBL2064645,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(F)c(F)c4)nc31)[C@H](O)[C@@H]2O,5.75,0,5.75,,0.0,0
18,CHEMBL3673179,CCS(=O)(=O)N1CCN(c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)CC1,7.25,1,7.25,,0.0,0
19,CHEMBL4091567,Fc1ccc(C(OCCN2CCN(c3ccc(Cl)cc3)CC2)c2ccc(F)cc2)cc1,5.8,0,5.8,,0.0,0
20,CHEMBL1762473,N#Cc1ccc(Cl)cc1O[C@H](CCN)c1ccccc1,4.82,0,4.82,0.0,0.0,0
21,CHEMBL410055,CC#CCN(CCC)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,7.1,1,7.1,0.0,0.0,0
22,CHEMBL155109,CCCCN(c1ccncc1)n1ccc2ccccc21,6.37,1,6.37,0.0,0.0,0
23,CHEMBL559654,Clc1ccc(Cl)c(OC(c2cccnc2)C2CCNCC2)c1,7.08,1,7.08,0.0,0.0,0
24,CHEMBL1684049,CC(N)C1(c2cccc3ccccc23)CCCCC1,5.4,0,5.4,0.0,0.0,0
25,CHEMBL603109,CNC[C@@H](O)[C@H](c1cccc(F)c1)N1CC(C)(C)c2cc(F)ccc21,7.72,1,7.720625,0.0008838834764836365,0.008095199546672966,0
26,CHEMBL1813473,Clc1ccc([C@]23CCCC[C@@H]2CNC3)cc1Cl,5.445,0,5.5575,0.15909902576697293,2.0242914979757054,0
27,CHEMBL256408,CCN(CC)C(=O)C1(c2ccccc2)CC1CNCc1ncco1,6.35,1,6.35,0.0,0.0,0
28,CHEMBL498687,CCc1ccccc1O[C@H]1c2ccccc2CO[C@H]1CNC,7.82,1,7.821955000000001,0.0027647875144402425,0.02499375156211708,0
29,CHEMBL219703,CCCCCC(c1ccc(Cl)cc1)C1CCCCN1,6.69,1,7.0,0.4384062043356589,4.428571428571423,0
30,CHEMBL497461,CNC[C@@H]1COc2ccccc2[C@H]1Oc1ccccc1C,6.38,1,6.38,0.0,0.0,0
31,CHEMBL258060,CNCc1cc(NS(C)(=O)=O)ccc1Oc1ccc(Cl)cc1C,7.6,1,7.6,,0.0,0
32,CHEMBL150932,c1ccc(C(Oc2cccc3ccccc23)C2CCNCC2)cc1,6.92,1,6.92041,0.0005798275605726853,0.005924504473007604,0
33,CHEMBL469668,CN1CCN(C[C@H](c2cccc(OC(F)(F)F)c2)C2(O)CCCCC2)CC1,7.09,1,7.195515,0.14922074403379684,1.4663995558344394,0
34,CHEMBL2337600,FC(F)(F)c1ccc(O[C@H](c2ccccc2)[C@H]2CCNC2)cc1,8.0,1,8.0,0.0,0.0,0
35,CHEMBL605089,CC1CCCN(CCc2cccc3[nH]cc(S(=O)(=O)c4ccccc4)c23)C1,5.96,0,5.96089,0.0012586500705121357,0.014930656328166722,0
36,CHEMBL516,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,6.25,1,6.395,0.2050609665440991,2.2673964034401815,0
37,CHEMBL444742,CNC[C@@H]1OCc2ccccc2[C@@H]1Oc1cccc(F)c1C,8.309999999999999,1,8.41644,0.15052889157899363,1.2646677217445972,0
38,CHEMBL4563913,N=C(N)NCCCCCC(=O)O[C@H]1C[C@H](n2cc(I)c(=O)[nH]c2=O)O[C@@H]1CO,4.58,0,4.58,,0.0,0
39,CHEMBL1644471,c1ccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)cc1,7.27,1,7.27,0.0,0.0,0
40,CHEMBL1762478,CCC(CCNC)Oc1cc(Cl)ccc1C#N,5.15,0,5.15,0.0,0.0,0
41,CHEMBL388825,COc1ccc([C@@H]2C3CCC(C[C@H]2c2ccc(C)cc2)N3C)cc1OC,4.11,0,4.225,0.1626345596729059,2.7218934911242445,0
42,CHEMBL1070,COc1ccc2cc(CCC(C)=O)ccc2c1,5.73,0,5.73,0.0,0.0,0
43,CHEMBL493027,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1,5.04,0,5.04,0.0,0.0,0
44,CHEMBL1670,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,6.09,1,6.09,0.0,0.0,0
45,CHEMBL486044,CN[C@H]1C[C@H](Oc2ccccc2C)c2ccccc21,7.14,1,7.141335,0.0018879751057682037,0.018693983687925103,0
46,CHEMBL1087921,CNCCCN1Cc2ccccc2N(c2ccc(F)c(F)c2)S1(=O)=O,6.01,1,6.011615,0.0022839549032327524,0.026864661160106627,0
47,CHEMBL3310488,Cc1ccccc1OC(CC1CNC1)c1ccc(Cl)c(F)c1,7.16,1,7.16,,0.0,0
48,CHEMBL247733,Cc1cccc(CN(C2CCOCC2)[C@H]2CCNC2)c1C,8.15,1,8.15245,0.003464823227813544,0.030052315561574974,0
49,CHEMBL567932,CC(C)CN(C(=O)c1ccc2ccccc2c1)[C@H]1CCNC1,7.62,1,7.62,0.0,0.0,0
50,CHEMBL514354,CNCC[C@H](c1cc(F)cc(Cl)c1)N1C(=O)C(C)(C)c2cccc(F)c21,7.72,1,7.720625,0.0008838834764836365,0.008095199546672966,0
